word_id,part_of_speech,translation_text,translation_note,image_url,transcription,definition_text,difficulty_level,frequency_percent,sk_wordId,meaning_id
20970,det,определённый артикль,указывает на известный или ранее упоминавшийся объект,//static.skyeng.ru/image/download/project/dictionary/id/221321/width/640/height/480,ðə,Used before ​nouns to refer to ​particular things or ​people.,1,29.5,1,227852
20970,det,определённый артикль,"указывает на объект, единственный в своём роде",//static.skyeng.ru/image/download/project/dictionary/id/145065/width/640/height/480,ðəː,Used before nouns when only one of something exists.,1,24.4,1,236312
20970,det,определённый артикль,употребляется перед превосходной степенью прилагательных и наречий,//static.skyeng.ru/image/download/project/dictionary/id/101890/width/640/height/480,ðiː,Used in front of superlative adjectives and adverbs.,2,19.2,1,236504
20970,det,определённый артикль,используется вместо притяжательных местоимений,//static.skyeng.ru/image/download/project/dictionary/id/102803/width/640/height/480,ðiː,"Used instead of a possessive adjective ('your', 'her' or 'my').",3,10.1,1,236315
20970,det,определённый артикль,используется с обозначениями десятилетий,//static.skyeng.ru/image/download/project/dictionary/id/107809/width/640/height/480,ðiː,Used before numbers that refer to decades.,4,9.8,1,239341
20970,det,определённый артикль,в составе имён собственных,//static.skyeng.ru/image/download/project/dictionary/id/225898/width/640/height/480,ðiː,Used as a function word before a proper name.,0,4.0,1,254428
20970,det,определённый артикль,перед названиями времён года и природных явлений,//static.skyeng.ru/image/download/project/dictionary/id/16984/width/640/height/480,ðiː,"Used before nouns that designate natural phenomena, points of the compass, or the seasons of the year.",0,3.0,1,254427
20971,v,быть,,//static.skyeng.ru/image/download/project/dictionary/id/212789/width/640/height/480,biː,To exist; to have the quality of being; to be present.,1,73.3,2,200864
20971,v,быть,используется для описания чего-либо или кого-либо,//static.skyeng.ru/image/download/project/dictionary/id/217639/width/640/height/480,biː,"Used for giving information about someone or something, by describing them or saying where they are.",1,20.6,2,200865
20971,v,находиться,в каком-то месте или положении,//static.skyeng.ru/image/download/project/dictionary/id/38834/width/640/height/480,biː,To occupy a certain position or area; be somewhere.,1,6.1,2,200866
20971,v,быть,в безличных предложениях,//static.skyeng.ru/image/download/project/dictionary/id/153091/width/640/height/480,biː,To produce a certain impression or emotion.,0,0.0,2,255022
20971,v,вспомогательный глагол для времён Continuous,,//static.skyeng.ru/image/download/project/dictionary/id/100784/width/640/height/480,biː,Used with the present participle of other verbs to describe actions that are or were in progress.,1,0.0,2,236121
20971,v,вспомогательный глагол для выражения пассивного залога,,//static.skyeng.ru/image/download/project/dictionary/id/100785/width/640/height/480,biː,Used with the past participle of other verbs to form the passive voice.,0,0.0,2,236120
20972,cjc,и,"соединяет однородные члены предложения, связанные по смыслу фразы",//static.skyeng.ru/image/download/project/dictionary/id/101408/width/640/height/480,ænd,"Used to ​connect two or more words, ​phrases, ​parts of ​sentences, or ​related ​statements.",1,60.0,3,227853
20972,cjc,и,затем,//static.skyeng.ru/image/download/project/dictionary/id/216533/width/640/height/480,ænd,Used to say that one thing follows another thing.,1,20.0,3,237189
20972,cjc,и,плюс,//static.skyeng.ru/image/download/project/dictionary/id/108303/width/640/height/480,ænd,Used when adding numbers.,1,10.0,3,237188
20972,cjc,и,"соединяет два одинаковых слова, выражает усиление или противопоставление",//static.skyeng.ru/image/download/project/dictionary/id/183159/width/640/height/480,ænd,Used to connect two words or phrases that are the same to make their meaning stronger or to emphasize the difference between them.,3,5.0,3,236401
20972,cjc,и,употребляется вместо 'to' перед инфинитивом,//static.skyeng.ru/image/download/project/dictionary/id/142892/width/640/height/480,ænd,"Used instead of 'to' to show purpose after some verbs, such as 'go', 'come', 'try', 'stay', etc.",2,5.0,3,236761
20972,cjc,а,,//static.skyeng.ru/image/download/project/dictionary/id/141938/width/640/height/480,ænd,Used to introduce a phrase or clause contrasting with what has already been said.,1,0.0,3,253023
20972,cjc,и,присоединяет дроби к целым числам,//static.skyeng.ru/image/download/project/dictionary/id/141567/width/640/height/480,ænd,Used before a fraction that comes after a whole number.,4,0.0,3,253052
20973,prp,указывает на принадлежность,передаётся родительным падежом,//static.skyeng.ru/image/download/project/dictionary/id/148564/width/640/height/480,ɒv,"Used to show possession, belonging, or origin.",1,42.9,4,227854
20973,prp,указывает на авторство или деятеля,передаётся родительным падежом,//static.skyeng.ru/image/download/project/dictionary/id/107344/width/640/height/480,ɒv,Used to show who or what is the performer of the action.,1,12.9,4,241428
20973,prp,указывает на определённое количество чего-либо в какой-либо ёмкости,передаётся родительным падежом,//static.skyeng.ru/image/download/project/dictionary/id/100753/width/640/height/480,ɒv,Containing this amount.,1,11.4,4,236558
20973,prp,"используется после слов, обозначающих количество",,//static.skyeng.ru/image/download/project/dictionary/id/100752/width/640/height/480,ɒv,Used after words that demonstrate an amount.,1,10.0,4,236557
20973,prp,указывает на отношение конкретного понятия к более обширной категории,передаётся родительным падежом,//static.skyeng.ru/image/download/project/dictionary/id/142426/width/640/height/480,ɒv,Used for saying which specific thing belonging to a more general type you are referring to.,1,8.6,4,235159
20973,prp,указывает на местоположение относительно чего-либо,,//static.skyeng.ru/image/download/project/dictionary/id/104606/width/640/height/480,ɒv,Used when showing the position of something in relation to something else.,1,7.1,4,236096
20973,prp,указывает на соотношение части и целого,,//static.skyeng.ru/image/download/project/dictionary/id/129646/width/640/height/480,ɒv,Used for showing how something is a part of something bigger.,1,7.1,4,236097
20974,det,неопределённый артикль,указывает на не упоминавшийся ранее объект в единственном числе,//static.skyeng.ru/image/download/project/dictionary/id/216376/width/640/height/480,ə,Used before a ​noun to refer to a ​single thing or ​person that has not been ​mentioned before ('an' is used before nouns starting with a vowel).,1,19.6,5,227954
20974,det,неопределённый артикль,придаёт объекту обобщающий характер,//static.skyeng.ru/image/download/project/dictionary/id/170196/width/640/height/480,eɪ,Used to mean any or every person or thing of the type someone is referring to.,1,18.7,5,255455
20974,det,неопределённый артикль,указывает на количество предметов: один,//static.skyeng.ru/image/download/project/dictionary/id/170192/width/640/height/480,eɪ,Used in numbers and measurements to mean ‘one’.,1,16.6,5,255456
20974,det,неопределённый артикль,служит для выделения объекта из группы однородных объектов,//static.skyeng.ru/image/download/project/dictionary/id/62075/width/640/height/480,e,"Used to say what class, type, or group someone or something belongs to.",1,13.9,5,255457
20974,det,неопределённый артикль,"употребляется в сочетаниях с 'little', 'few' и т. д.",//static.skyeng.ru/image/download/project/dictionary/id/23932/width/640/height/480,eɪ,"Used before some words ('little', 'few', etc) expressing a number or amount.",2,12.4,5,255458
20974,det,неопределённый артикль,указывает на однократность действия,//static.skyeng.ru/image/download/project/dictionary/id/170197/width/640/height/480,eɪ,Used before some nouns of action to refer to one example of the action.,2,10.4,5,255459
20974,det,неопределённый артикль,"используется перед первым существительным в обозначении парных предметов, воспринимаемых как единое целое",//static.skyeng.ru/image/download/project/dictionary/id/170198/width/640/height/480,eɪ,Used before the first of two nouns that are referred to as one unit.,2,8.3,5,255460
20975,abb,дюйм,письменное сокращение для 'inch',//static.skyeng.ru/image/download/project/dictionary/id/143754/width/640/height/480,,A written abbreviation of 'inch' (a unit of length equal to one twelfth of a foot).,0,100.0,178778,254124
20976,prp,употребляется с инфинитивом для указания цели,,//static.skyeng.ru/image/download/project/dictionary/id/101932/width/640/height/480,tuː,Used with an infinitive to give the purpose of something.,1,29.7,7,236532
20976,prp,до,указывает на диапазон,//static.skyeng.ru/image/download/project/dictionary/id/107864/width/640/height/480,tuː,Used in phrases which show a range.,1,2.8,7,239379
20976,prp,указывает на связь между людьми,,//static.skyeng.ru/image/download/project/dictionary/id/37634/width/640/height/480,tuː,Used to show a relationship with someone.,1,2.8,7,237437
20976,prp,употребляется для выражения сравнения или сопоставления,может переводиться дательным падежом,//static.skyeng.ru/image/download/project/dictionary/id/102807/width/640/height/480,tuː,Used to compare two things.,1,2.8,7,237435
20976,prp,без,скольки-то минут,//static.skyeng.ru/image/download/project/dictionary/id/104462/width/640/height/480,tuː,Used to say how many minutes it is before the hour when you are telling the time.,1,2.8,7,236636
20976,x,"используется, если необходимо опустить инфинитивный оборот во избежание повтора",,//static.skyeng.ru/image/download/project/dictionary/id/101933/width/640/height/480,tuː,Used instead of an infinitive in order not to repeat it.,1,29.7,7,236534
20976,x,используется с начальной формой глагола,,//static.skyeng.ru/image/download/project/dictionary/id/101796/width/640/height/480,tuː,Used with a verb to make an infinitive.,1,29.7,7,236642
20977,v,иметь,модель перевода: у кого/чего-либо есть кто/что-либо,//static.skyeng.ru/image/download/project/dictionary/id/217780/width/640/height/480,hæv,"To possess, own, or hold, either in a concrete or an abstract sense.",1,62.9,8,20495
20977,v,включать в себя,иметь,//static.skyeng.ru/image/download/project/dictionary/id/217779/width/640/height/480,hæv,"To contain or include parts, members, etc.",1,12.1,8,20496
20977,v,испытывать,что-либо,//static.skyeng.ru/image/download/project/dictionary/id/136739/width/640/height/480,hæv,To experience some mental or physical state.,2,10.8,8,20497
20977,v,вспомогательный глагол,для времён группы Perfect и условного наклонения,//static.skyeng.ru/image/download/project/dictionary/id/136738/width/640/height/480,hæv,(auxiliary verb) used with the past participle of another verb to form  the perfect tenses and the conditional mood.,2,9.3,8,236025
20977,v,есть,,//static.skyeng.ru/image/download/project/dictionary/id/97469/width/640/height/480,hæv,To eat or drink something.,1,2.3,8,20500
20977,v,устраивать,мероприятие,//static.skyeng.ru/image/download/project/dictionary/id/136865/width/640/height/480,hæv,"To plan, or organize an event.",0,1.6,8,20502
20977,v,держать в (определённом) положении или состоянии,что-либо,//static.skyeng.ru/image/download/project/dictionary/id/138694/width/640/height/480,hæv,(have something + past participle / adjective / (preposition + noun)) used for saying that someone has put something in a particular position or have arranged it in a particular way.,3,1.0,8,252812
20978,prn,это,,//static.skyeng.ru/image/download/project/dictionary/id/227802/width/640/height/480,ɪt,"Used as the subject or object of a verb, when a more specific subject or object is given later in the sentence.",1,50.0,9,235134
20978,prn,безличное местоимение,"используется для описания погоды, времени и т. д.; на русский язык обычно не переводится",//static.skyeng.ru/image/download/project/dictionary/id/101457/width/640/height/480,ɪt,"The impersonal pronoun used in statements about time, date, distance, or weather.",2,20.0,9,236040
20978,prn,оно,"его, него и т. д.",//static.skyeng.ru/image/download/project/dictionary/id/218174/width/640/height/480,ɪt,"Used to refer to the thing, situation, place, animal, or idea previously mentioned or easily identified.",1,15.0,9,227957
20978,prn,это,используется в безличных предложениях,//static.skyeng.ru/image/download/project/dictionary/id/225782/width/640/height/480,ɪt,"Used as the subject of verbs such as 'seem', 'look' and 'appear'.",4,10.0,9,238356
20978,prn,именно,"кто-либо или что-либо, в оборотах с глаголом 'to be'",//static.skyeng.ru/image/download/project/dictionary/id/113808/width/640/height/480,ɪt,Used to emphasize a following part of a sentence.,6,5.0,9,240917
20979,prn,я,,//static.skyeng.ru/image/download/project/dictionary/id/218091/width/640/height/480,aɪ,Used as the subject of the verb by the person speaking or writing to refer to himself or herself.,1,100.0,165118,233266
20979,n,девятая буква английского алфавита,,//static.skyeng.ru/image/download/project/dictionary/id/20711/width/640/height/480,aɪ,The 9th letter of the English alphabet.,0,0.0,165118,237987
20980,prn,это,,//static.skyeng.ru/image/download/project/dictionary/id/221320/width/640/height/480,ðæt,Referring to something that can be seen or pointed to.,1,18.5,10,237925
20980,prn,то,дальний от говорящего объект,//static.skyeng.ru/image/download/project/dictionary/id/152509/width/640/height/480,ðæt,Referring to the more distant of two things near to the speaker (in opposition to 'this').,0,13.9,10,254429
20980,prn,это,,//static.skyeng.ru/image/download/project/dictionary/id/143570/width/640/height/480,ðæt,Referring to something that has already been talked about or seen.,1,9.3,10,253794
20980,prn,вот,"в сочетаниях: 'that is why', 'that's why' - ""вот почему""",//static.skyeng.ru/image/download/project/dictionary/id/101929/width/640/height/480,ðæt,Used for making a connection with an earlier statement.,2,7.4,10,236503
20980,prn,это,реакция на определённую ситуацию,//static.skyeng.ru/image/download/project/dictionary/id/107805/width/640/height/480,ðæt,Used to express a reaction to something.,4,4.6,10,239335
20980,prn,это,указывает на ситуацию в прошлом,//static.skyeng.ru/image/download/project/dictionary/id/107806/width/640/height/480,ðæt,Used to refer to events or experiences in the past.,4,0.9,10,239336
20980,cjc,что,вводит придаточное предложение,//static.skyeng.ru/image/download/project/dictionary/id/228358/width/640/height/480,ðæt,"Used after some nouns, adjectives, and verbs to introduce a new part of a sentence.",2,45.4,10,239655
20981,v,прощать за,что-либо,//static.skyeng.ru/image/download/project/dictionary/id/227924/width/640/height/480,fəˈgɪv fɔː,To pardon someone for something.,3,100.0,165842,234750
20982,prn,вы,,//static.skyeng.ru/image/download/project/dictionary/id/221445/width/640/height/480,juː,The one or ones being addressed.,1,99.0,12,227858
20982,prn,ты,в безличных предложениях,//static.skyeng.ru/image/download/project/dictionary/id/101949/width/640/height/480,juː,Any person in general.,2,1.0,12,236593
20983,prn,он,,//static.skyeng.ru/image/download/project/dictionary/id/217782/width/640/height/480,hiː,Used as the subject of the verb referring to someone male who has already been mentioned.,1,60.0,13,227959
20983,prn,он,обобщённое значение,//static.skyeng.ru/image/download/project/dictionary/id/79268/width/640/height/480,hiː,"A person of unspecified sex, especially when referring to somebody mentioned earlier or to a group in general (now chiefly replaced by ‘he or she’ or ‘they’).",1,40.0,13,228061
20984,prp,с,кем-либо; указывает на совместное действие или нахождение где-либо,//static.skyeng.ru/image/download/project/dictionary/id/221429/width/640/height/480,wɪð,Used to say that two or more people or things are together in the same place or are doing something together.,1,40.0,14,227859
20984,prp,с,чем-либо; указывает на характерный признак,//static.skyeng.ru/image/download/project/dictionary/id/100787/width/640/height/480,wɪð,"Used for saying what qualities, possessions, or features someone or something has.",1,20.0,14,236599
20984,prp,при помощи,"чего-либо; указывает на орудие или способ совершения действия, часто переводится творит. падежом",//static.skyeng.ru/image/download/project/dictionary/id/105020/width/640/height/480,wɪð,Indicating the instrument used for doing something.,2,15.0,14,235198
